Wavenumber,Absorbance
2587.94534,0.05166
2585.88487,0.05158
2583.82441,0.05142
2581.76394,0.05120
2579.70347,0.05117
2577.64301,0.05131
2575.58254,0.05142
2573.52208,0.05139
2571.46161,0.05140
2569.40114,0.05158
2567.34068,0.05171
2565.28021,0.05183
2563.21975,0.05207
2561.15928,0.05240
2559.09881,0.05251
2557.03835,0.05242
2554.97788,0.05249
2552.91742,0.05273
2550.85695,0.05287
2548.79648,0.05283
2546.73602,0.05291
2544.67555,0.05320
2542.61509,0.05333
2540.55462,0.05334
2538.49415,0.05361
2536.43369,0.05405
2534.37322,0.05424
2532.31276,0.05426
2530.25229,0.05452
2528.19182,0.05475
2526.13136,0.05463
2524.07089,0.05424
2522.01043,0.05377
2519.94996,0.05347
2517.88949,0.05334
2515.82903,0.05318
2513.76856,0.05286
2511.70810,0.05241
2509.64763,0.05205
2507.58716,0.05177
2505.52670,0.05141
2503.46623,0.05098
2501.40576,0.05056
2499.34530,0.05012
2497.28483,0.04970
2495.22437,0.04946
2493.16390,0.04927
2491.10343,0.04886
2489.04297,0.04840
2486.98250,0.04795
2484.92204,0.04736
2482.86157,0.04674
2480.80110,0.04617
2478.74064,0.04563
2476.68017,0.04507
2474.61971,0.04466
2472.55924,0.04448
2470.49877,0.04417
2468.43831,0.04365
2466.37784,0.04304
2464.31738,0.04229
2462.25691,0.04165
2460.19644,0.04123
2458.13598,0.04075
2456.07551,0.04038
2454.01505,0.04026
2451.95458,0.04003
2449.89411,0.03942
2447.83365,0.03873
2445.77318,0.03828
2443.71272,0.03800
2441.65225,0.03769
2439.59178,0.03731
2437.53132,0.03688
2435.47085,0.03640
2433.41039,0.03595
2431.34992,0.03561
2429.28945,0.03533
2427.22899,0.03509
2425.16852,0.03477
2423.10806,0.03429
2421.04759,0.03383
2418.98712,0.03343
2416.92666,0.03302
2414.86619,0.03269
2412.80573,0.03249
2410.74526,0.03222
2408.68479,0.03176
2406.62433,0.03133
2404.56386,0.03127
2402.50340,0.03141
2400.44293,0.03123
2398.38246,0.03080
2396.32200,0.03048
2394.26153,0.03024
